Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777019456,50,,Aggregated,18.700000,10.600000,2,2,2,3,5,7,29,31,160,160,160,564,339,2,3.226364058060968,0.4879579646512866,159.8753749858588,58.406028368794324
1777019457,50,,Aggregated,17.900000,9.500000,2,2,2,3,5,7,29,31,160,160,160,580,349,2,3.1734070274978876,0.4879579646512866,159.8753749858588,58.28448275862069
1777019458,50,,Aggregated,17.300000,9.500000,2,2,2,3,5,7,29,30,160,160,160,603,364,2,3.130468202424336,0.4879579646512866,159.8753749858588,58.159203980099505
1777019459,50,,Aggregated,17.300000,9.600000,2,2,2,3,5,7,29,30,160,160,160,619,372,2,3.0966628820940802,0.4879579646512866,159.8753749858588,58.22940226171244
1777019460,50,,Aggregated,17.900000,10.000000,2,2,2,3,4,7,29,30,160,160,160,635,380,2,3.0529064159312354,0.4879579646512866,159.8753749858588,58.188976377952756
1777019461,50,,Aggregated,17.400000,9.900000,2,2,2,3,4,7,29,30,160,160,160,656,389,2,3.021625044333987,0.4879579646512866,159.8753749858588,58.35213414634146
1777019462,50,,Aggregated,17.100000,9.700000,2,2,2,3,4,7,29,30,160,160,160,671,400,2,3.0137413478388426,0.4879579646512866,159.8753749858588,58.131147540983605
1777019463,50,,Aggregated,17.800000,9.400000,2,2,2,3,4,7,29,30,160,160,160,686,408,2,2.9946281401570833,0.4879579646512866,159.8753749858588,58.20991253644315
1777019464,50,,Aggregated,17.400000,9.800000,2,2,2,3,4,7,26,30,160,160,160,703,415,2,2.9657373591001606,0.4879579646512866,159.8753749858588,58.47937411095306
1777019465,50,,Aggregated,17.200000,9.500000,2,2,2,3,4,7,26,30,160,160,160,718,426,2,2.9303070287801285,0.4879579646512866,159.8753749858588,58.36490250696379
1777019466,50,,Aggregated,17.100000,9.400000,2,2,2,3,4,6,26,30,160,160,160,742,442,2,2.8906592390389556,0.4879579646512866,159.8753749858588,58.17250673854448
1777019467,50,,Aggregated,17.000000,9.600000,2,2,2,3,4,7,29,31,160,160,160,762,457,2,2.953592992633376,0.4879579646512866,159.8753749858588,58.02755905511811
1777019468,50,,Aggregated,17.600000,10.100000,1,2,2,3,4,7,29,31,160,160,160,781,470,1,2.9099705304399555,0.4879579646512866,159.8753749858588,57.86939820742638
1777019469,50,,Aggregated,18.200000,10.700000,2,2,2,3,4,7,29,31,160,160,160,800,480,1,2.8957954490033444,0.4879579646512866,159.8753749858588,58.01
1777019470,50,,Aggregated,17.800000,10.700000,1,2,2,3,4,6,26,30,160,160,160,814,489,1,2.8714548860200626,0.4879579646512866,159.8753749858588,57.981572481572485
1777019471,50,,Aggregated,18.000000,10.700000,1,2,2,3,4,6,26,30,160,160,160,837,502,1,2.8526832800516537,0.4879579646512866,159.8753749858588,58.07168458781362
1777019472,50,,Aggregated,18.000000,10.900000,1,2,2,3,4,6,19,30,160,160,160,853,513,1,2.8224745372273157,0.4879579646512866,159.8753749858588,57.97069167643611
1777019473,50,,Aggregated,18.200000,11.400000,1,2,2,3,4,6,19,30,160,160,160,872,523,1,2.8102799474129267,0.4879579646512866,159.8753749858588,58.01949541284404
1777019474,50,,Aggregated,18.300000,11.300000,2,2,2,3,4,7,30,38,160,160,160,895,530,2,3.214195891876585,0.4879579646512866,159.8753749858588,58.357541899441344
1777019475,50,,Aggregated,18.300000,11.300000,2,2,2,3,5,7,30,38,160,160,160,913,539,2,3.3113157064506025,0.4879579646512866,159.8753749858588,58.43044906900329
1777019476,50,,Aggregated,18.900000,11.500000,2,2,2,3,5,7,30,38,160,160,160,928,548,2,3.309702169143089,0.4879579646512866,159.8753749858588,58.46120689655172
1777019477,50,,Aggregated,19.500000,11.200000,2,2,2,3,5,8,30,38,160,160,160,943,556,2,3.355806852811365,0.4879579646512866,159.8753749858588,58.4050901378579
1777019478,50,,Aggregated,18.900000,10.800000,2,2,2,3,5,8,29,38,160,160,160,965,569,2,3.347516004020261,0.4879579646512866,159.8753749858588,58.51917098445596
1777019479,50,,Aggregated,18.300000,10.200000,2,2,2,3,5,8,29,38,160,160,160,983,581,2,3.3115366100033294,0.4879579646512866,159.8753749858588,58.41607324516785
1777019480,50,,Aggregated,18.200000,9.700000,2,2,2,3,5,7,29,38,91,160,160,1004,592,2,3.2677925263709606,0.4879579646512866,159.8753749858588,58.44223107569721
1777019481,50,,Aggregated,18.500000,10.300000,2,2,2,3,5,7,29,38,91,160,160,1019,599,2,3.244507471414811,0.4879579646512866,159.8753749858588,58.51128557409225
1777019482,50,,Aggregated,18.500000,10.100000,2,2,2,3,5,7,29,38,91,160,160,1038,612,2,3.204468156454227,0.4879579646512866,159.8753749858588,58.35067437379576
1777019483,50,,Aggregated,18.200000,9.700000,2,2,2,3,4,7,29,38,91,160,160,1058,625,2,3.1679715531647545,0.4879579646512866,159.8753749858588,58.411153119092624
1777019484,50,,Aggregated,18.100000,9.800000,2,2,2,3,4,7,29,38,91,160,160,1077,635,2,3.1595071013489378,0.4879579646512866,159.8753749858588,58.44289693593315
1777019485,50,,Aggregated,18.800000,10.300000,2,2,2,3,4,7,29,38,91,160,160,1096,649,2,3.1302259562802197,0.4879579646512866,159.8753749858588,58.24178832116788
1777019486,50,,Aggregated,17.800000,10.300000,2,2,2,3,4,7,28,35,91,160,160,1113,661,2,3.1251803878109037,0.4879579646512866,159.8753749858588,58.103324348607366
1777019487,50,,Aggregated,17.900000,10.600000,2,2,2,3,4,7,28,35,91,160,160,1128,669,2,3.1048789721953267,0.4879579646512866,159.8753749858588,58.091312056737586
1777019488,50,,Aggregated,18.800000,11.400000,2,2,2,3,4,7,26,35,91,160,160,1154,684,2,3.067608083601544,0.4879579646512866,159.8753749858588,58.03292894280762
1777019489,50,,Aggregated,18.400000,11.300000,2,2,2,3,4,7,26,35,91,160,160,1166,691,2,3.052434911068823,0.4879579646512866,159.8753749858588,58.09519725557461
