Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/health,1876,1876,1,1.8265800622439803,0.41720899753272533,91.03287500329316,27.0,6.279073452939342,6.279073452939342,1,1,2,2,2,3,8,15,50,91,91
GET,GET /health,2332,0,1,1.8168110827760415,0.40020805317908525,159.8753749858588,82.0,7.805330113142083,0.0,1,1,2,2,2,3,7,12,77,160,160
POST,POST /api/incidents/analyze,1374,1374,2,2.3772290996255507,0.6021249573677778,80.32066700980067,61.0,4.598852305084572,4.598852305084572,2,2,2,2,4,5,9,18,42,80,80
,Aggregated,5582,3250,1,1.9580402050678865,0.40020805317908525,159.8753749858588,58.346470798996776,18.683255871165997,10.877925758023915,1,2,2,2,3,4,8,15,50,160,160
